file_id,cluster
1001_frame1816,0
1001_frame1817,0
1001_frame1818,0
1001_frame1820,0
1001_frame1821,0
1001_frame1822,0
1001_frame1823,0
1001_frame1824,0
1001_frame1825,0
1001_frame1826,0
1001_frame1827,0
1001_frame1831,0
1001_frame1835,0
1001_frame1836,0
1001_frame1838,0
1001_frame1841,0
1004_frame1821,0
1004_frame1822,0
1004_frame1823,0
1004_frame1824,0
1004_frame1825,0
1004_frame1826,0
1004_frame1827,0
1008_frame1824,0
1008_frame1825,0
1008_frame1826,0
1008_frame1827,0
1008_frame1828,0
1008_frame1829,0
1008_frame1830,0
1008_frame1831,0
1010_frame1836,0
1010_frame1837,0
1010_frame1840,0
1010_frame1843,0
1010_frame1844,0
1011_frame1830,0
1011_frame1831,0
1011_frame1832,0
1011_frame1833,0
1014_frame1834,0
1015_frame1837,0
1015_frame1838,0
1015_frame1839,0
1015_frame1840,0
1015_frame1841,0
1015_frame1842,0
1015_frame1843,0
1015_frame1844,0
1015_frame1845,0
1015_frame1846,0
1015_frame1847,0
1015_frame1848,0
1015_frame1849,0
1015_frame1850,0
1015_frame1851,0
1015_frame1852,0
1015_frame1853,0
1015_frame1854,0
1015_frame1855,0
1015_frame1856,0
1015_frame1857,0
1015_frame1858,0
1015_frame1859,0
1015_frame1860,0
1015_frame1861,0
1015_frame1862,0
1015_frame1863,0
1015_frame1864,0
1015_frame1865,0
1015_frame1866,0
1015_frame1867,0
1015_frame1868,0
1015_frame1869,0
1015_frame1870,0
1015_frame1871,0
1015_frame1872,0
1015_frame1873,0
1015_frame1874,0
1015_frame1875,0
1015_frame1876,0
1015_frame1877,0
1015_frame1878,0
1015_frame1879,0
1015_frame1880,0
1015_frame1881,0
1015_frame1882,0
1015_frame1883,0
1015_frame1884,0
1015_frame1885,0
1015_frame1886,0
1015_frame1887,0
1015_frame1888,0
1015_frame1889,0
1015_frame1890,0
1015_frame1891,0
1015_frame1892,0
1015_frame1893,0
1015_frame1894,0
1015_frame1895,0
1015_frame1896,0
1015_frame1897,0
1015_frame1899,0
1015_frame1900,0
1015_frame1902,0
1015_frame1903,0
1015_frame1904,0
1015_frame1906,0
1015_frame1907,0
1015_frame1908,0
1015_frame1909,0
1015_frame1910,0
1015_frame1911,0
1015_frame1912,0
1015_frame1913,0
1015_frame1914,0
1015_frame1915,0
1015_frame1916,0
1015_frame1917,0
1015_frame1919,0
1015_frame1920,0
1015_frame1921,0
1015_frame1925,0
1015_frame1926,0
1015_frame1927,0
1016_frame1863,0
1016_frame1864,0
1016_frame1865,0
1016_frame1866,0
1016_frame1867,0
1016_frame1868,0
1016_frame1869,0
1016_frame1870,0
1016_frame1871,0
1016_frame1872,0
1016_frame1873,0
1016_frame1874,0
1016_frame1875,0
1016_frame1876,0
1016_frame1877,0
1016_frame1878,0
1016_frame1879,0
1016_frame1880,0
1016_frame1881,0
1016_frame1882,0
1016_frame1883,0
